"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"119833";"GM1676";"2003JJ00";"34484";"384";"368";"1083";"942";"141";"1187";"1016";"171";"19";"-69";"-0.2";"-69";"-0.2";"34415"
"119846";"GM1676";"2004JJ00";"34415";"335";"371";"1101";"974";"127";"995";"844";"151";"6";"76";"0.22";"76";"0.22";"34491"
"119859";"GM1676";"2005JJ00";"34491";"273";"339";"1201";"1107";"94";"1192";"1029";"163";"1";"-56";"-0.16";"-56";"-0.16";"34435"
"119872";"GM1676";"2006JJ00";"34435";"329";"341";"1066";"962";"104";"1355";"1185";"170";"-2";"-303";"-0.88";"-303";"-0.88";"34132"
"119885";"GM1676";"2007JJ00";"34132";"269";"327";"968";"858";"110";"1052";"933";"119";"4";"-138";"-0.4";"-138";"-0.4";"33994"
"119898";"GM1676";"2008JJ00";"33994";"304";"378";"1090";"919";"171";"1095";"980";"115";"14";"-65";"-0.19";"-65";"-0.19";"33929"
"119911";"GM1676";"2009JJ00";"33929";"291";"372";"1132";"991";"141";"861";"756";"105";"-1";"189";"0.56";"189";"0.56";"34118"
"119924";"GM1676";"2010JJ00";"34118";"312";"329";"1026";"895";"131";"923";"842";"81";"-1";"85";"0.25";"85";"0.25";"34203"
"119937";"GM1676";"2011JJ00";"34203";"269";"359";"967";"840";"127";"932";"826";"106";"3";"-52";"-0.15";"-52";"-0.15";"34151"
"119950";"GM1676";"2012JJ00";"34151";"265";"337";"889";"761";"128";"925";"800";"125";"-3";"-111";"-0.33";"-111";"-0.33";"34040"
"119963";"GM1676";"2013JJ00";"34040";"292";"380";"923";"778";"145";"1025";"924";"101";"2";"-188";"-0.55";"-188";"-0.55";"33852"
"119976";"GM1676";"2014JJ00";"33852";"280";"338";"1029";"880";"149";"999";"901";"98";"-3";"-31";"-0.09";"-31";"-0.09";"33821"
"119989";"GM1676";"2015JJ00";"33821";"279";"374";"1027";"878";"149";"1019";"887";"132";"1";"-86";"-0.25";"-86";"-0.25";"33735"
"120002";"GM1676";"2016JJ00";"33735";"243";"334";"1113";"951";"162";"992";"892";"100";"0";"30";"0.09";"30";"0.09";"33765"
"120015";"GM1676";"2017JJ00";"33765";"284";"395";"1194";"1071";"123";"1152";"1031";"121";"-9";"-78";"-0.23";"-78";"-0.23";"33687"
"120028";"GM1676";"2018JJ00";"33687";"276";"372";"1225";"1073";"152";"1036";"943";"93";"-1";"92";"0.27";"92";"0.27";"33779"
"120041";"GM1676";"2019JJ00";"33779";"308";"391";"1181";"1029";"152";"1042";"932";"110";"4";"60";"0.18";"60";"0.18";"33839"
"120054";"GM1676";"2020JJ00";"33839";"264";"392";"1403";"1261";"142";"1051";"937";"114";"2";"226";"0.67";"226";"0.67";"34065"
"120076";"GM0964";"2002JJ00";"7246";"104";"49";"246";"233";"13";"235";"224";"11";"0";"66";"0.91";"66";"0.91";"7312"
"120089";"GM0964";"2003JJ00";"7312";"88";"52";"249";"232";"17";"227";"207";"20";"3";"61";"0.83";"61";"0.83";"7373"
